employee_id,first_name,last_name,department,salary,start_date
1001,Curtis,Kim,Marketing,65641,2021-05-10
1002,John,Anderson,Engineering,111216,2020-02-04
1003,Alison,Lambert,Marketing,113579,2019-11-02
1004,Joshua,Schneider,HR,103039,2023-08-29
1005,Justin,Woods,HR,83643,2018-11-16
1006,Kristin,Sanders,HR,65186,2019-04-14
1007,Nicholas,Stephens,HR,81599,2019-10-07
1008,Jeffrey,Guzman,Sales,98725,2022-07-21
1009,Joseph,Chavez,Marketing,61712,2022-07-24
1010,Mary,Leach,HR,87361,2020-10-26
1011,Carrie,Mitchell,HR,74430,2019-10-20
1012,Michael,Miranda,Engineering,112070,2018-09-26
1013,David,Diaz,Engineering,96206,2022-04-07
1014,Michael,Miller,Engineering,104930,2019-01-11
1015,Edward,Payne,HR,82999,2023-04-30
1016,Alexandra,Wu,HR,107355,2018-12-17
1017,Thomas,Davis,HR,63910,2019-07-18
1018,Tiffany,Gomez,HR,112492,2021-07-05
1019,Catherine,Wall,Engineering,100818,2021-11-11
1020,Brittany,Bell,Engineering,111058,2018-03-02
1021,Jeffrey,Stanley,Sales,114717,2018-05-12
1022,Kevin,Ruiz,HR,77335,2023-11-13
1023,Bonnie,Parrish,HR,67287,2019-08-31
1024,Jody,Diaz,Engineering,90730,2022-09-11
1025,Michael,Pacheco,Sales,104549,2021-08-16
1026,Carolyn,Phillips,Marketing,85112,2021-07-18
1027,Carrie,Jones,Sales,79259,2018-11-11
1028,Tony,Williams,HR,72191,2020-03-21
1029,Patricia,Smith,Engineering,63124,2022-04-15
1030,Kyle,Woods,Sales,95701,2018-09-28
1031,Jessica,Knight,HR,105178,2023-02-10
1032,Bonnie,Nelson,Engineering,81431,2018-06-18
1033,Katelyn,Lopez,Marketing,65827,2023-09-18
1034,Noah,Richard,Marketing,75168,2019-04-09
1035,Christopher,Fernandez,Marketing,83592,2020-05-17
1036,Robert,Peterson,Marketing,68728,2018-03-01
1037,David,Romero,Sales,96891,2019-06-19
1038,Terri,Wilcox,HR,71052,2019-08-13
1039,Amanda,Mclean,Engineering,111811,2022-08-27
1040,Trevor,Mccall,Engineering,77415,2018-02-15
1041,Erika,Brown,Engineering,75092,2020-07-27
1042,Jennifer,Perry,HR,75934,2019-09-09
1043,Kathy,Moody,Marketing,60135,2019-05-11
1044,Alexandra,Schmidt,Marketing,80952,2021-05-27
1045,Joseph,Hughes,Sales,83337,2023-11-12
1046,Richard,Norman,Sales,104795,2021-04-14
1047,Anne,Diaz,Marketing,106018,2019-03-09
1048,Melissa,Solis,Engineering,64627,2021-04-25
1049,Evan,Charles,Sales,103249,2022-05-26
1050,Robin,Schmidt,Sales,64501,2019-09-10
1051,Kaitlyn,Barrett,Marketing,105722,2019-01-17
1052,Cory,Esparza,HR,94252,2020-02-26
1053,Evan,Riley,Sales,89766,2022-04-15
1054,Peter,Black,Engineering,65478,2019-12-22
1055,Maurice,Bell,Marketing,101007,2021-10-26
1056,Kathy,Mcdowell,Sales,81016,2020-04-26
1057,Curtis,Johnson,Marketing,81262,2021-06-08
1058,Sandra,Lopez,Sales,105354,2023-03-15
1059,Pamela,Arias,Sales,91574,2023-08-21
1060,Kathryn,Johnson,Sales,90142,2021-07-23
1061,Brianna,Charles,Engineering,103141,2023-10-17
1062,Eric,Thomas,HR,82432,2020-10-28
1063,Vincent,Wade,Engineering,118040,2019-03-24
1064,Tracey,Stone,HR,109971,2021-08-14
1065,Audrey,Clark,Engineering,80552,2018-01-21
1066,Monica,Henderson,Engineering,72471,2021-12-12
1067,Matthew,Knox,Marketing,95204,2019-02-16
1068,Shelby,Walker,HR,81140,2019-10-12
1069,Anthony,Brown,Marketing,118118,2019-01-15
1070,Mike,Garza,Sales,118861,2020-06-02
